
20.0000000000,57.0000000000
20.2909066988,57.0071495625
20.5860447329,57.0144086472
20.8854756485,57.0217789239
21.1892618872,57.0292620851
21.4974667984,57.0368598464
21.8101546533,57.0445739463
22.1273906578,57.0524061462
22.4492409662,57.0603582309
22.7757726951,57.0684320083
23.1070539374,57.0766293096
23.4431537764,57.0849519895
23.7841423001,57.0934019257
24.1300906160,57.1019810195
24.4810708661,57.1106911954
24.8371562415,57.1195344012
25.1984209979,57.1285126078
25.5649404712,57.1376278094
25.9367910930,57.1468820228
26.3140504067,57.1562772881
26.6967970834,57.1658156676
27.0851109387,57.1754992464
27.4790729492,57.1853301315
27.8787652690,57.1953104521
28.2842712475,57.2054423587
28.6956754462,57.2157280233
29.1130636568,57.2261696385
29.5365229188,57.2367694174
29.9661415375,57.2475295931
30.4020091030,57.2584524179
30.8442165082,57.2695401629
31.2928559682,57.2807951173
31.7480210394,57.2922195877
32.2098066390,57.3038158974
32.6783090648,57.3155863853
33.1536260154,57.3275334053
33.6358566101,57.3396593252
34.1251014105,57.3519665255
34.6214624402,57.3644573984
35.1250432075,57.3771343467
35.6359487256,57.3899997820
36.1542855356,57.4030561239
36.6801617282,57.4163057980
37.2136869661,57.4297512345
37.7549725073,57.4433948665
38.3041312279,57.4572391279
38.8612776461,57.4712864516
39.4265279456,57.4855392675
40.0000000000,57.5000000000
40.5818133975,57.5146710656
41.1720894657,57.5295548707
41.7709512971,57.5446538084
42.3785237744,57.5599702561
42.9949335968,57.5755065721
43.6203093066,57.5912650924
44.2547813156,57.6072481276
44.8984819324,57.6234579587
45.5515453903,57.6398968337
46.2141078749,57.6565669633
46.8863075528,57.6734705168
47.5682846001,57.6906096171
48.2601812320,57.7079863362
48.9621417322,57.7256026900
49.6743124829,57.7434606330
50.3968419958,57.7615620524
51.1298809424,57.7799087621
51.8735821860,57.7985024964
52.6281008133,57.8173449035
53.3935941668,57.8364375379
54.1702218775,57.8557818534
54.9581458983,57.8753791949
55.7575305380,57.8952307906
56.5685424949,57.9153377423
57.3913508924,57.9357010174
58.2261273137,57.9563214381
59.0730458376,57.9771996719
59.9322830751,57.9983362205
60.8040182060,58.0197330947
61.6884330163,58.0414009874
62.5857119363,58.0633541300
63.4960420787,58.0856077709
64.4196132780,58.1081782361
65.3566181296,58.1310829928
66.3072520307,58.1543407176
67.2717132203,58.1779713670
68.2502028209,58.2019962529
69.2429248805,58.2264381211
70.2500864149,58.2511765648
71.2718974512,58.2729324720
72.3085710713,58.2902219581
73.3603234564,58.3029165504
74.4273739322,58.3109222483
75.5099450145,58.3141841621
76.6082624559,58.3126912396
77.7225552923,58.3064810244
78.8530558912,58.2956443774
80.0000000000,58.2803300859
81.1636267950,58.2607288257
82.3441789315,58.2370123351
83.5419025942,58.2093918663
84.7570475487,58.1781402588
85.9898671937,58.1435937389
87.2406186132,58.1061528846
88.5095626311,58.0662826097
89.7969638648,58.0245110113
91.1030907805,57.9814269301
92.4282157498,57.9376760626
93.7726151055,57.8939554793
95.1365692002,57.8510064026
96.5203624640,57.8096051191
97.9242834644,57.7705519132
99.3486249659,57.7346579449
100.7936839916,57.7028234262
102.2597618848,57.6766746786
103.7471643721,57.6579710147
105.2562016267,57.6484599457
106.7871883336,57.6498921123
108.3404437550,57.6640018404
109.9162917966,57.6924867381
111.5150610759,57.7369867615
113.1370849898,57.7990632777
114.7827017849,57.8801787441
116.4522546274,57.9816777291
118.1460916752,58.1047700897
119.8645661501,58.2505172150
121.6080364119,58.4201443342
123.3768660326,58.6133116271
125.1714238726,58.8279849901
126.9920841575,59.0617391420
128.8392265559,59.3117647259
130.7132362593,59.5748791750
132.6145040614,59.8475468563
134.5434264406,60.1259091056
136.5004056418,60.4058245100
138.4858497610,60.6829194721
140.5001728299,60.9526486974
142.5437949025,61.2103647896
144.6171421426,61.4513956169
146.7206469127,61.6711275345
148.8547478643,61.8650919444
151.0198900291,61.9808858387
153.2165249118,62.0440420609
155.4451105846,62.1162414074
157.7061117824,62.1975390349
160.0000000000,62.2879085016
162.3272535900,62.3872333628
164.6883578630,62.4952989712
167.0838051884,62.6117846543
169.5140950975,62.7362564589
171.9797343873,62.8681606761
174.4812372264,63.0068183798
177.0191252622,63.1514212310
179.5939277295,63.3010288167
182.2061815611,63.4545678042
184.8564314996,63.6108332042
187.5452302111,63.7684920312
190.2731384004,63.9260896564
193.0407249281,64.0820591263
195.8485669287,64.2347337056
198.6972499318,64.3823628632
201.5873679832,64.5231318823
204.5195237697,64.6551852066
207.4943287442,64.7766535688
210.5124032534,64.8856848496
213.5743766672,64.9804785135
216.6808875099,65.0593233386
219.8325835933,65.1206380250
223.0301221518,65.1630141043
226.2741699797,65.1852604115
229.5654035698,65.1864482022
232.9045092548,65.1659558196
236.2921833503,65.1235116315
239.7291323003,65.0592337923
243.2160728239,64.9736652233
246.7537320653,64.8678020806
250.3428477452,64.7431138844
253.9841683149,64.6015534434
